id,guest_id,date_start,date_end,room_id
1,837,1999-03-04,2019-12-24,6041
2,3419,1977-09-17,2000-07-24,3480
3,2788,2003-02-04,1994-03-30,90787
4,990,1992-06-06,1972-01-13,48881
5,3196,2004-08-05,1982-07-29,38052
6,1184,1991-04-28,1974-07-15,81486
7,4465,1979-04-08,2009-10-04,84564
8,4000,1993-10-27,1978-03-03,96637
9,4150,1985-05-06,1982-01-20,6799
10,4768,2014-11-03,1995-10-11,99241
11,2938,1984-12-19,1995-08-10,43910
12,2303,1998-04-21,1983-10-09,29083
13,3918,1986-10-15,1972-08-02,92064
14,1402,1989-08-27,1997-07-18,63880
15,4738,1975-10-17,2023-05-10,53508
16,2211,2002-02-24,1997-01-04,20417
17,4859,1980-10-18,1986-09-26,35791
18,4401,2014-07-24,2012-02-09,39633
19,1170,2007-04-02,1975-05-14,58926
20,40,1982-07-01,1992-05-04,48657
21,3314,2003-02-25,2002-09-13,27219
22,748,2004-11-17,1972-08-28,36093
23,1784,1981-03-12,1996-06-27,71764
24,376,1975-01-08,1975-06-15,96639
25,3755,1987-03-05,2017-10-29,64919
26,3646,2017-09-05,2014-12-05,17024
27,3724,1995-12-07,1990-10-21,29869
28,4306,1989-10-10,1973-10-16,45738
29,1539,2003-09-24,1998-11-12,87476
30,1894,1973-03-22,2017-01-25,17637
31,2448,1972-03-11,2009-01-10,99746
32,1634,1988-02-19,1983-07-14,61224
33,1632,1996-12-03,1992-09-09,73178
34,981,1973-05-29,2001-11-10,32547
35,2743,2011-01-08,1986-08-18,73236
36,2797,1994-07-21,1990-07-28,80729
37,12,2008-06-05,2002-03-16,92774
38,4543,1997-04-01,2008-04-23,70025
39,4319,1986-06-27,2017-01-01,9511
40,3548,2003-03-29,1974-05-18,77614
41,1114,1971-07-13,2013-02-24,59579
42,937,2003-05-26,2017-05-16,87189
43,1953,2007-04-29,1982-01-20,57811
44,3362,1974-10-05,1986-04-26,56193
45,1373,2002-01-12,1974-11-29,62714
46,4673,2000-08-18,2016-11-29,71086
47,1422,1986-06-04,1996-11-08,73179
48,4496,2009-02-01,1977-07-26,40238
49,3053,1990-08-02,2002-11-20,60758
50,2096,1985-09-20,1987-05-06,177
51,1575,2021-10-18,2010-11-12,2929
52,2714,2004-06-08,2013-04-14,45331
53,373,2012-01-19,2002-05-04,35432
54,90,1993-08-02,1978-04-05,82699
55,4181,1982-01-08,2008-07-09,40809
56,3726,1993-04-27,1996-12-16,79986
57,4351,1977-01-18,2017-04-06,98396
58,2049,1988-06-30,1996-09-21,62525
59,882,1992-05-18,2017-04-23,47357
60,4263,1973-11-10,1984-09-14,99098
61,4817,1988-10-16,1986-04-04,59598
62,559,1970-03-11,1971-04-28,51400
63,1800,1990-05-03,2018-02-14,26262
64,328,1987-03-30,2020-11-29,79806
65,2656,2003-09-17,1970-04-13,67745
