id,number,type,price
1,768816,luxe,18811
2,519012,econom,4120
3,229722,standard,2762
4,500177,luxe,14445
5,651887,standard,18018
6,6376,luxe,15654
7,993089,standard,14591
8,995217,luxe,15528
9,652495,luxe,2320
10,218377,econom,9337
11,838165,standard,5019
12,537748,luxe,12421
13,537581,econom,13168
14,887979,econom,19306
15,79899,standard,13194
16,12240,econom,5378
17,697337,luxe,14605
18,836443,standard,1392
19,942698,luxe,7912
20,458201,econom,3401
21,998708,econom,17610
22,386286,luxe,15136
23,960608,standard,13672
24,413879,luxe,7151
25,706008,luxe,7532
26,77636,luxe,14713
27,363711,standard,4256
28,722803,luxe,13787
29,100753,luxe,4557
30,169766,econom,18877
31,766244,standard,19163
32,698097,standard,16113
33,443639,luxe,1935
34,226570,standard,6037
35,87692,standard,5676
36,686546,luxe,11196
37,861401,luxe,8944
38,279847,standard,4934
39,817541,standard,17686
40,256771,standard,18126
41,376106,luxe,17565
42,765702,standard,15559
43,523723,econom,15356
44,256040,luxe,13419
45,85494,econom,12404
46,91754,econom,5223
47,193727,standard,15016
48,52074,luxe,4122
49,408925,standard,5387
50,346596,luxe,14464
51,368402,econom,17706
52,98310,luxe,9705
53,936668,luxe,4050
54,327906,econom,19349
55,9480,luxe,9611
56,392463,luxe,6085
57,475176,econom,3486
58,612961,econom,1864
59,102870,luxe,13429
60,592535,standard,14438
61,106638,luxe,14886
62,594421,standard,3947
63,802,econom,15139
64,909803,econom,18970
65,659260,luxe,11199
66,446756,luxe,9211
67,630484,standard,14167
68,647426,standard,8402
69,373073,econom,6273
70,996004,standard,4570
71,612173,luxe,14964
72,971645,luxe,14617
73,504181,luxe,10736
74,194521,econom,2072
75,71784,luxe,2667
76,300294,econom,17675
77,416364,luxe,2822
78,760363,econom,7798
79,449887,standard,18374
80,331756,standard,4110
81,69278,standard,6249
82,309520,luxe,2455
83,807830,luxe,6269
84,865372,standard,10986
85,545301,econom,6124
86,504245,standard,4685
87,871226,econom,6204
88,523330,luxe,15416
89,919594,econom,7831
90,784287,econom,8070
91,131089,luxe,3301
92,371714,econom,8821
93,26543,standard,14899
94,932313,luxe,14604
95,410033,econom,16141
96,502213,standard,8956
97,698733,econom,4404
98,321488,luxe,5889
99,830967,standard,14579
100,333369,econom,13394
101,917477,luxe,11899
102,825348,standard,10488
103,345071,econom,12539
104,685174,econom,14011
105,496431,luxe,16148
106,218065,econom,19779
107,930615,standard,2610
108,899334,standard,6811
109,768276,standard,11378
110,450185,econom,6368
111,793541,econom,18128
112,255832,standard,4268
113,894782,standard,15391
114,166532,econom,8738
115,195026,standard,8427
116,116663,standard,7660
117,643531,standard,8209
118,367083,econom,6521
119,637395,standard,10102
120,823124,standard,9864
121,547442,econom,2968
122,49266,econom,10202
123,484489,econom,15022
124,487234,luxe,4081
125,95562,econom,7127
126,57988,standard,11642
127,156153,luxe,5541
128,415302,econom,15753
129,800467,luxe,5167
130,673911,luxe,2906
131,417897,luxe,19289
132,909264,luxe,8464
133,2558,standard,14984
134,678624,econom,11446
135,84123,econom,5611
136,28551,standard,12472
137,861334,luxe,17489
138,23912,econom,10519
139,566615,standard,17737
140,443914,econom,17940
141,152887,luxe,8426
142,995509,standard,13393
143,254933,standard,15020
144,375283,standard,14062
145,221311,econom,18210
146,666527,luxe,4478
147,915804,standard,7696
148,202513,standard,9839
149,842938,econom,10459
150,715392,econom,13646
151,460441,standard,10367
152,248008,standard,2772
153,202749,standard,19123
154,953218,econom,9084
